topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Contact Information,Fracture Care Team,"What is the contact information for the Fracture Care Team?","If you have any queries please contact; Tel no: 0300 019 2802 e-mail: fracturecare@uhd.nhs.uk","What are the contact methods for the Fracture Care Team?","You can contact them by phone or email.","contact information, Fracture Care Team, phone number, email address"
Introduction,About the Achilles Tendon,"What is the Achilles tendon and what is its function?","The Achilles tendon joins your calf muscle to your heel bone. Its function is to allow a good push off from your foot when you walk, run or stand on tiptoes.","What is the Achilles tendon's role in movement?","It enables push-off during walking, running, and rising onto tiptoes.","Achilles tendon, calf muscle, heel bone, function, push off, walk, run, stand on tiptoes"
Introduction,About the Achilles Tendon,"What is the Achilles tendon known for in terms of strength?","The Achilles tendon is the strongest tendon in the body.","What makes the Achilles tendon notable?","It is recognized as the strongest tendon in the human body.","Achilles tendon, strongest tendon"
Introduction,About the Achilles Tendon,"How can the Achilles tendon be torn?","The Achilles tendon can be either completely or partially torn by a sudden force around the foot or ankle.","What causes a tear in the Achilles tendon?","A sudden force applied to the foot or ankle can cause a complete or partial tear.","Achilles tendon rupture, complete tear, partial tear, sudden force, foot, ankle"
Diagnosis,Ultrasound Scan (USS),"What is an ultrasound scan (USS) used for in diagnosing Achilles tendon rupture?","To confirm if the Achilles tendon is ruptured, you may be referred for an ultrasound scan (USS). This scan uses sound waves to produce an image of the inside your leg to confirm the location and extent of the tendon injury.","How does an ultrasound scan help diagnose the injury?","It uses sound waves to image the leg, confirming the location and extent of the tendon injury.","ultrasound scan, USS, diagnose Achilles tendon rupture, sound waves, image leg, location and extent of injury"
Initial Management,Using the Boot and Crutches,"How should I use the boot and crutches after a suspected Achilles tendon rupture?","You must use the boot with the 3 wedges until the diagnosis is confirmed. You can put some weight through the boot to walk using crutches unless advised otherwise, so you will need to use crutches or a walking frame.","What is the initial advice regarding the boot and walking aids?","Use the boot with 3 wedges until diagnosis is confirmed, and use crutches or a walking frame for walking with partial weight-bearing.","initial management, boot, crutches, walking frame, partial weight-bearing, 3 wedges"
Initial Management,Using your foot,"What precautions should I take with my foot while in the boot?","The boot and wedges should be worn at all times (including in bed), to ensure the tendon is protected. It is important to look after the skin, so you will be shown how to carefully remove and replace the boot for washing and skin inspection, keeping toes pointed down. Avoid stretching the calf, as this could lead to an elongated tendon.","What is crucial for protecting the tendon during healing?","Wearing the boot and wedges at all times is essential for protection.","using your foot, boot and wedges, at all times, tendon protection, skin care, toes pointed down, avoid stretching calf, elongated tendon"
Pain and Swelling,Management Strategies,"How can I manage pain and swelling?","Elevating your ankle above the level of your hips will help to reduce swelling. Use pillows or a stool to keep your ankle raised when lying and sitting. You can take over the counter pain killers, such as paracetamol, ibuprofen or co-codamol as required.","What are the recommended methods for managing pain and swelling?","Elevate your ankle above hip level, use pillows, and take over-the-counter pain relievers like paracetamol or ibuprofen.","pain and swelling, managing pain, managing swelling, elevating ankle, pillows, stool, over the counter pain killers, paracetamol, ibuprofen, co-codamol"
Follow up,Fracture Clinic Review,"Will I have a follow-up appointment in the Fracture Clinic?","You will be reviewed in the Fracture Clinic at Poole Hospital and invited to attend for an Ultrasound scan prior to this appointment.","What is the follow-up process?","You will be reviewed in the Fracture Clinic after an initial ultrasound scan.","follow up, Fracture Clinic review, Poole Hospital, Ultrasound scan"
Management,Treatment Pathways,"What are the possible treatment pathways for an Achilles tendon rupture?","It may be possible for the tendon to heal naturally through a conservative care plan, or surgical repair may be offered. This decision depends on factors like general health, activity levels, age, and test results.","What factors influence the choice between conservative and surgical treatment?","The decision depends on the patient's overall health, normal activity levels, age, and the results of orthopaedic tests.","treatment pathways, conservative care plan, surgical repair, decision factors, general health, activity levels, age, test results"
Management,Rehabilitation after Achilles Tendon Rupture,"What does rehabilitation involve for both treatment pathways?","Both treatments will involve wearing a boot to protect the tendon while it heals, partial weight-bearing for the first few weeks, and managing swelling and pain for 3 to 6 months. Running is usually not possible for at least 5 months.","What are the common aspects of rehabilitation regardless of treatment choice?","Both pathways involve wearing a boot, partial weight-bearing initially, and managing prolonged swelling and pain. Running is restricted for at least 5 months.","rehabilitation, Achilles tendon rupture, wearing a boot, partial weight-bearing, swelling and pain, running restriction"
Exercises,Initial Exercises,"What initial exercises should I perform while in the boot?","These initial exercises should be repeated 10 times each, 3-4 times per day (with your boot on). 1. Tense your thigh muscle to straighten your knee. Slowly lift your leg 2 inches off the bed, hold for 10 seconds then lower. 2. Lying on your back, bend and straighten your knee.","What are the recommended exercises to do while wearing the boot?","Exercises include thigh muscle tensing to lift the leg, holding, and lowering, and bending/straightening the knee while lying down.","initial exercises, repeat 10 times, 3-4 times per day, boot on, tense thigh muscle, straighten knee, lift leg, hold, lower leg, bend and straighten knee"
Additional Information,Future Guidance,"What additional guidance will I receive for my rehabilitation?","You will be provided with a sheet of additional exercises by the outpatient physiotherapists or consultant, as well as a copy of the care pathway.","What resources will be provided for my ongoing recovery?","Outpatient physiotherapists or the consultant will provide additional exercises and a copy of the care pathway.","additional information, future guidance, outpatient physiotherapists, consultant, care pathway, rehabilitation"
Information on Deep Vein Thrombosis (DVT),Risk of DVT and PE,"What is the risk associated with leg immobilization after an Achilles tendon rupture?","When your leg is immobilized in a plaster cast or walking boot, lack of movement can cause blood clots (DVT) to form. A DVT itself is not life-threatening, but a part can dislodge and travel to the lungs (Pulmonary Embolus - PE), which can be very serious.","What is the main risk of immobilizing the leg?","Immobilization increases the risk of Deep Vein Thrombosis (DVT), which can lead to a serious Pulmonary Embolus (PE).","Deep Vein Thrombosis, DVT, Pulmonary Embolus, PE, leg immobilization, plaster cast, walking boot, blood clots"
Information on Deep Vein Thrombosis (DVT),Reducing DVT Risk,"How can the risk of developing a DVT be reduced?","We will assess your personal risk. If necessary, blood thinning medication (like Enoxaparin/Inhixa®) will be prescribed. Used syringes MUST be disposed of safely. Continue medication until reviewed by the Orthopaedic team. Take regular fluids to avoid dehydration. Avoid long journeys and staying still for longer than an hour.","What measures are taken to reduce DVT risk?","Risk assessment, blood-thinning medication (if prescribed), safe syringe disposal, continued medication until review, adequate fluid intake, and avoiding prolonged immobility are recommended.","reducing DVT risk, blood thinning medication, Enoxaparin, Inhixa, syringe disposal, orthopaedic team review, regular fluids, avoid dehydration, avoid long journeys, avoid staying still"
Information on Deep Vein Thrombosis (DVT),Signs and Symptoms of DVT/PE,"What are the signs and symptoms of DVT or PE that require immediate medical attention?","If you experience leg pain, swelling, warm or discolored skin on your legs, new shortness of breath, chest/back/rib pain worse with breathing, or coughing up blood, return to hospital ASAP, dial 111 or 999.","What symptoms indicate a potential DVT or PE?","Leg pain/swelling/discoloration, shortness of breath, chest/back pain with breathing, or coughing blood require urgent medical attention.","signs and symptoms, DVT, PE, leg pain, swelling, warm skin, discolored skin, shortness of breath, chest pain, back pain, rib pain, coughing up blood, return to hospital, 111, 999"
Further Queries,Contacting the Fracture Care Team,"When should I contact the Fracture Care Team?","If you are worried you cannot follow the plan, have pain/symptoms outside the original injury area, or have questions, contact the Fracture Care Team using the phone or email details at the top of the leaflet.","What situations warrant contacting the Fracture Care Team?","Contact them if you have concerns about following the plan, experience symptoms away from the injury site, or have any questions.","further queries, contact Fracture Care Team, worried, unable to follow plan, pain or symptoms, original injury site, questions"
Contact Information,Consultant and Physiotherapy Department,"Where can I direct queries about my Achilles tendon injury management?","If you have any queries please contact your consultant's secretary or your physiotherapy department: Poole: 0300 019 (2121), Christchurch: 0300 019 (2802) Or e-mail: fracturecare@uhd.nhs.uk","What are the contact details for consultants and physiotherapy?","Contact your consultant's secretary or physiotherapy departments at Poole (0300 019 2121) or Christchurch (0300 019 2802), or email fracturecare@uhd.nhs.uk.","contact information, consultant's secretary, physiotherapy department, Poole, Christchurch, email"
First 14 Days After Diagnosis or Surgery,In a Boot,"What guidance should I follow for the first 14 days in the boot?","During this time please follow the guidance on the Achilles tendon Injury leaflet and/or the exercises on the “NON & PARTIAL WEIGHT BEARING EXERCISES” leaflet.","What are the primary instructions for the first two weeks?","Follow the Achilles tendon Injury leaflet and the non-& partial weight-bearing exercises leaflet.","first 14 days, in a boot, Achilles tendon Injury leaflet, NON & PARTIAL WEIGHT BEARING EXERCISES leaflet"
2 Weeks After Diagnosis or Surgery,General Guidance,"What general guidance should I follow starting at 2 weeks post-diagnosis or surgery?","Keep wearing the boot with 3 wedges to stand and walk around, but start to put more weight through the leg. Use the crutches to help you walk as normally as possible. You may start to remove the boot to do some basic exercises to get the foot and ankle moving.","What changes can I make to my boot and mobility at 2 weeks?","Continue with the boot and 3 wedges for walking, increase weight-bearing, use crutches for normal gait, and start removing the boot for basic exercises.","2 weeks post-diagnosis, 2 weeks post-surgery, boot with 3 wedges, stand and walk, more weight through leg, crutches, walk normally, remove boot, basic exercises, foot and ankle moving"
2 Weeks After Diagnosis or Surgery,Exercises,"What exercises can I start doing at 2 weeks post-diagnosis or surgery?","1. Lying on your stomach with knees bent at a right angle, point feet up and down. 2. As above, turn feet in and out. 3. Sit with knees together, feet on floor, raise up and down on toes, keeping big toe grounded. Do both feet together, then alternate.","What are the recommended exercises for this stage?","Exercises include ankle plantarflexion/dorsiflexion, inversion/eversion, and toe raises, performed with knees bent or sitting.","exercises, lying on stomach, knees bent, point feet up and down, turn feet in and out, sit on chair, raise on toes, big toe grounded"
Throughout Rehabilitation Period,Warm-up Routine,"What is the importance of a warm-up during rehabilitation?","Throughout the rehabilitation period, do exercises 1-3 every morning and after a period of prolonged inactivity (e.g. sitting, lying or standing still). This will ensure that you warm up the muscles and joints prior to movement.","When should I perform warm-up exercises?","Perform exercises 1-3 every morning and after prolonged inactivity to warm up muscles and joints before movement.","rehabilitation period, warm-up, exercises 1-3, every morning, prolonged inactivity, muscles and joints"
4 Weeks After Diagnosis or Surgery,Boot Usage Guidelines,"What are the boot usage guidelines at 4 weeks post-diagnosis or surgery?","You may take your boot off to sleep. Do not walk without the boot on under any circumstances – to reduce the risk of you doing so; keep the boot by your bed overnight.","What is the instruction regarding boot removal at 4 weeks?","You can remove the boot for sleeping, but must not walk without it, keeping it by the bed to prevent accidental removal.","4 weeks post-diagnosis, 4 weeks post-surgery, take boot off to sleep, do not walk without boot, keep boot by bed"
6 Weeks After Diagnosis or Surgery,General Guidance and Exercises,"What general guidance and exercises should I follow at 6 weeks?","Continue to warm up properly. Remove a wedge from the boot each week from week 6 onwards with physio guidance. Wean off crutches as comfortable. Start static bike with physio guidance. Progress through exercises 4-8 in order.","What are the key changes at 6 weeks?","Continue warm-ups, gradually remove boot wedges weekly (with physio guidance), wean off crutches, start static biking (with physio), and progress through exercises 4-8.","6 weeks post-diagnosis, 6 weeks post-surgery, warm-up, remove wedge from boot, physiotherapist guidance, wean off crutches, static bike, progress exercises"
6 Weeks After Diagnosis or Surgery,Exercises 4-8,"What specific exercises should I progress to at 6 weeks?","Exercises include: 4. Weight transfer in supportive shoes. 5. Balance exercises (one foot in front of other). 6. Calf raises (rocking forward, lifting heels). 7. Progressing heel lifts without leaning. 8. Standing on one leg (leaning on plinth).","Describe exercises 4-8.","These involve weight transfers, balance exercises, calf raises progressing to single leg raises, and standing on one leg with support.","Exercises 4-8, weight transfer, balance exercises, calf raises, single leg raises, leaning on plinth"
8 Weeks After Diagnosis or Surgery,General Guidance and Exercises,"What general guidance and exercises are recommended at 8 weeks?","Continue warm-ups. Walk in supportive shoes with wedges indoors only. Use crutches to avoid limping, especially in the morning/evening. Keep shoes/boot by bed. Practice tightrope walking (exercise 9), alternate heel raises (exercise 10), single leg balance (exercise 11), and tiptoe walking (exercise 12).","What are the key instructions for weeks 8 onwards?","Continue warm-ups, walk indoors in shoes with wedges, use crutches as needed, keep footwear accessible, and practice specific balance and gait exercises.","8 weeks post-diagnosis, 8 weeks post-surgery, warm-up, walk indoors, supportive shoes, wedges, crutches, tightrope walking, alternate heel raises, single leg balance, tiptoe walking"
10 Weeks After Diagnosis or Surgery,General Guidance and Exercises,"What general guidance and exercises can I do at 10 weeks?","With physio guidance, walk in supportive shoes with wedges outdoors. Warm up with exercises 1-8 first. Use crutches to avoid limping. Keep shoes/boot by bed. Start walking across a room on tiptoe (exercise 13), progress balancing on a folded towel (exercise 14), and begin gentle calf stretching (exercise 15) if tight.","What new activities can I start at 10 weeks?","With physiotherapy guidance, walk outdoors in shoes with wedges, continue warm-ups, use crutches as needed, and begin tiptoe walking, towel balance, and calf stretching exercises.","10 weeks post-diagnosis, 10 weeks post-surgery, physio guidance, walk outdoors, supportive shoes, wedges, crutches, tiptoe walking, balancing on towel, calf stretching"
12 Weeks After Diagnosis or Surgery,General Guidance and Exercises,"What are the general guidelines and exercises at 12 weeks?","Continue warm-ups. Walk barefoot indoors only. Wear a shoe with a wedge outdoors and wean off wedge as movement allows. Progress heel raises (exercise 16) and bouncing/star jumps/jogging (exercise 17). Perform calf stretch (exercise 18) on unaffected leg to level with affected leg.","What are the key progression steps at 12 weeks?","Continue warm-ups, walk barefoot indoors, wear wedged shoes outdoors, gradually wean off wedge, progress heel raises, start plyometrics (bouncing, jumping, jogging), and perform contralateral calf stretches.","12 weeks post-diagnosis, 12 weeks post-surgery, warm-up, walk barefoot indoors, shoe with wedge outdoors, wean off wedge, heel raises, plyometrics, calf stretch"
