topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Introduction,Your Injury,"What is a proximal humerus fracture?","A proximal humerus fracture is a break in the bone of the shoulder, the humerus.","How long does it typically take to heal?","The bone usually takes 6 to 8 weeks to heal, but it can take longer depending on the type of break.","proximal humerus fracture, broken bone, shoulder, humerus, healing time"
Introduction,Your Injury,"Is it normal to have pain long after a proximal humerus fracture has healed?","Yes, it is normal to have pain long after the bone has healed, and this does not always indicate a problem with the healing process.","Can persistent pain be normal after fracture healing?","Yes, persistent pain months after healing does not necessarily mean there is a problem with the bone's healing.","proximal humerus fracture, pain, long after healing, normal symptom"
Introduction,Anatomy of the Shoulder,"What are the main anatomical components of the shoulder joint?","The shoulder joint consists of the Clavicle, Fibrous joint capsule, Synovial membrane, Joint cavity (containing synovial fluid), Humerus, Scapula, and Articular cartilage.","What bones form the shoulder joint?","The shoulder joint is formed by the clavicle, scapula, and humerus.","shoulder joint anatomy, clavicle, fibrous joint capsule, synovial membrane, joint cavity, synovial fluid, humerus, scapula, articular cartilage"
Introduction,Image Credit,"What is the source of the shoulder joint image?","The image is from Blausen.com staff (2014) and is licensed under CC BY 3.0.","Where can I find the original image?","The image is sourced from Blausen.com staff (2014) and is licensed under CC BY 3.0.","image credit, Blausen.com, CC BY 3.0"
Lifestyle Advice,Smoking,"How does smoking affect a proximal humerus fracture?","Smoking affects the body's ability to heal itself and can delay or stop the broken bone from healing.","What advice is given regarding smoking and fracture healing?","It is recommended to stop smoking, and a hospital service is available for assistance.","lifestyle advice, smoking, affect healing, delay healing, stop healing, stop smoking service"
What to expect,Weeks 1 and 2,"What should I expect in the first 1-2 weeks after a proximal humerus fracture?","You will likely be given a sling for pain relief. Sleep may be disturbed, and bruising/swelling might spread to the chest, elbow, and forearm. Tingling in the fingers may occur but should resolve. Physiotherapy may be recommended for movement and strength.","What are common symptoms in the initial recovery period?","Expect pain relief from a sling, disturbed sleep, bruising/swelling that can spread, and temporary finger tingling. Physiotherapy may be needed.","weeks 1 and 2, proximal humerus fracture, sling, pain relief, disturbed sleep, bruising, swelling, tingling fingers, physiotherapy"
Early movement and exercise,Initial Exercises,"What early movements and exercises are recommended for a proximal humerus fracture?","Early movements are important to reduce stiffness. Exercises include: Out of the sling: bending forward with the arm hanging down, bending and straightening the elbow, and opening/closing/spreading fingers then making a fist.","What movements should I try early in recovery?","Try gentle movements like bending forward with the arm hanging, elbow flexion/extension, and hand/finger movements.","early movement, exercise, reduce stiffness, elbow, wrist, fingers, collar and cuff, bending forward, elbow flexion/extension, hand movements"
Pain Management,Painkillers,"What should I do about pain after a proximal humerus fracture?","You should have been advised about painkillers. Please speak to your GP or pharmacist for further advice on managing pain.","Where can I get advice on pain management?","Consult your GP or pharmacist for advice on appropriate painkillers.","pain management, painkillers, GP advice, pharmacist advice"
Recovery Timeline,Weeks 3 to 6,"What can I expect in terms of pain and movement between weeks 3 and 6?","The pain and bruising should be settling, and movement in your shoulder should be improving.","How should my symptoms progress by weeks 3-6?","Expect reduced pain and bruising, with improving shoulder movement.","weeks 3 to 6, pain settling, bruising settling, improving movement"
Recovery Timeline,Weeks 6 to 12,"What should I expect regarding pain and stiffness between weeks 6 and 12?","It is normal for the shoulder to still be painful and stiff. This can last for a few months and doesn't necessarily indicate a healing problem. You should no longer be wearing a sling unless advised otherwise. Contact the telephone number provided if you have concerns about shoulder movement and haven't had physiotherapy.","What are normal symptoms to experience between 6 and 12 weeks post-fracture?","It's normal to still have pain and stiffness, which can persist for months. You should not be wearing a sling unless instructed. Contact the clinic if movement is concerning and physiotherapy hasn't been arranged.","weeks 6 to 12, normal symptoms, painful shoulder, stiff shoulder, no sling, physiotherapy referral"
