topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Introduction,Overview,"What is a proximal humerus fracture?","A proximal humerus fracture is a break in the bone of the shoulder, the humerus.","How long does it typically take to heal?","The bone usually takes 6 to 8 weeks to heal, but it can take longer depending on the type of break.","proximal humerus fracture, broken bone, shoulder, humerus, healing time"
Introduction,Overview,"Is persistent pain normal after a proximal humerus fracture has healed?","Yes, it is normal to have pain long after the bone has healed, and this does not always indicate a problem with the healing process.","Can pain persist after fracture healing?","Yes, pain can persist for months after the bone has healed without necessarily indicating a problem with the healing itself.","proximal humerus fracture, pain, long after healing, normal symptom"
Introduction,Anatomy of the Shoulder,"What are the key anatomical components of the shoulder joint?","The shoulder joint consists of the Clavicle, Fibrous joint capsule, Synovial membrane, Joint cavity (containing synovial fluid), Humerus, Scapula, and Articular cartilage.","What bones form the shoulder joint?","The shoulder joint is formed by the clavicle, scapula, and humerus.","shoulder joint anatomy, clavicle, fibrous joint capsule, synovial membrane, joint cavity, synovial fluid, humerus, scapula, articular cartilage"
Introduction,Image Credit,"What is the source of the shoulder joint image?","The image is from Blausen.com staff (2014) and is licensed under CC BY 3.0.","Where can I find the original image?","The image is sourced from Blausen.com staff (2014) and is licensed under CC BY 3.0.","image credit, Blausen.com, CC BY 3.0"
Lifestyle Advice,Smoking,"How does smoking affect a proximal humerus fracture?","Smoking impairs the body's ability to heal and can delay or prevent bone healing. It also increases the risk of infection.","Why is smoking cessation recommended for this fracture?","Smoking hinders healing and increases infection risk, so stopping is advised for optimal recovery.","lifestyle advice, smoking, fracture healing, impairs healing, infection risk, smoking cessation"
What to expect,Weeks 1 and 2,"What symptoms should I expect in the first 1-2 weeks after a proximal humerus fracture?","You will likely be given a sling for pain relief. Sleep may be disturbed, and bruising/swelling might spread to the chest, elbow, and forearm. Temporary finger tingling may occur but should resolve. Physiotherapy may be recommended for movement and strength.","What are common symptoms in the initial recovery period?","Expect pain relief from a sling, disturbed sleep, bruising/swelling that can spread, and temporary finger tingling. Physiotherapy might be suggested.","weeks 1 and 2, proximal humerus fracture, sling, pain relief, disturbed sleep, bruising, swelling, tingling fingers, physiotherapy"
Early movement and exercise,Initial Exercises,"What early movements and exercises are recommended for a proximal humerus fracture?","Early movement is important to reduce stiffness. Exercises include: out of sling: bending forward with the arm hanging down, bending and straightening the elbow, and opening/closing/spreading fingers then making a fist.","What gentle movements should I try early in recovery?","Try gentle movements like bending forward with the arm hanging, elbow flexion/extension, and hand/finger exercises.","early movement, exercise, reduce stiffness, elbow, wrist, fingers, collar and cuff, bending forward, elbow flexion/extension, hand movements"
Pain Management,Painkillers,"What should I do about pain after a proximal humerus fracture?","You should have been advised about painkillers. Please consult your GP or pharmacist for further advice on pain management.","Where can I get advice on pain relief?","Consult your GP or pharmacist for advice on appropriate painkillers.","pain management, painkillers, GP advice, pharmacist advice"
Recovery Timeline,Weeks 3 to 6,"What changes should I expect in pain and movement between weeks 3 and 6?","The pain and bruising should be diminishing, and shoulder movement should be improving.","How should my symptoms progress by weeks 3-6?","Expect reduced pain and bruising, with gradual improvement in shoulder movement.","weeks 3 to 6, pain settling, bruising settling, improving movement"
Recovery Timeline,Weeks 6 to 12,"What should I anticipate regarding pain and stiffness between weeks 6 and 12?","It's normal for the shoulder to remain somewhat painful and stiff during this period, which can last for a few months and doesn't necessarily indicate a healing problem. You should discontinue sling use unless advised otherwise. If you have concerns about shoulder movement and haven't been referred for physiotherapy, contact the provided number.","What are common symptoms to experience between 6 and 12 weeks post-fracture?","It's normal to still experience pain and stiffness, which can persist for months. Sling use should be discontinued unless medically advised, and physiotherapy should be sought for movement concerns.","weeks 6 to 12, normal symptoms, painful shoulder, stiff shoulder, no sling, physiotherapy referral"
Recovery Timeline,Non-healing Fracture,"What indicates a potential non-healing proximal humerus fracture?","Ongoing pain persisting more than 3 months after the injury might suggest a non-healing fracture, though this is rare for this type of injury.","When should I be concerned about delayed healing?","If you experience persistent pain more than 3 months post-injury, contact the fracture clinic for assessment, as this is uncommon but possible.","non-healing fracture, ongoing pain, more than 3 months, fracture clinic assessment"
Contact Information,Virtual fracture clinic,"What is the contact information for the Virtual Fracture Clinic?","Contact the Virtual Fracture Clinic at 024 7696 9237 (Monday to Friday, 9am to 4pm). Leave a voicemail with your full name and phone number if they are unavailable. For emergencies outside these hours, please go to A&E.","How can I reach the Virtual Fracture Clinic for concerns?","Call 024 7696 9237 during operating hours (Mon-Fri, 9am-4pm) and leave a voicemail if they are busy. For emergencies, go to A&E.","contact information, Virtual Fracture Clinic, phone number, voicemail, emergencies, A&E"
Contact Information,Translation Services,"What if I need information in another language or format?","The Trust has access to interpreting and translation services. Contact 024 7696 9237 for assistance with information in another language or format.","How can I obtain the leaflet in a different format?","Contact 024 7696 9237 to request the leaflet in alternative formats or languages.","translation services, interpreting services, another language, alternative format"
Trust Information,Smoke Free Policy,"What is the Trust's policy on smoking?","The Trust operates a smoke-free policy, meaning smoking is prohibited anywhere on its premises, both indoors and outdoors.","What is the policy regarding smoking on Trust property?","Smoking is not permitted anywhere on the Trust's premises, including indoors and outdoors.","smoke-free policy, Trust property, no smoking"
Trust Information,Feedback,"How can I provide feedback about the Trust's services?","You can share your experience by scanning the QR code or visiting www.uhcw.nhs.uk/feedback.","Where can I give feedback or make comments?","Provide feedback by scanning a QR code or visiting www.uhcw.nhs.uk/feedback.","feedback, share experience, QR code, website"
