topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Introduction,Injury Overview,"What is a proximal humerus fracture?","A proximal humerus fracture is a break in the humerus, which is the main bone of the upper arm, specifically near the shoulder joint.","What is the typical healing period for this fracture?","The bone usually takes 6 to 8 weeks to heal, although healing time can vary depending on the type of break.","proximal humerus fracture, upper arm bone, shoulder joint, bone healing"
Introduction,Injury Overview,"What should I expect regarding pain after a proximal humerus fracture?","It is normal to experience pain for some time after the fracture has healed, and this does not necessarily indicate a problem with the healing process itself.","Is persistent pain after fracture healing normal?","Yes, it is normal to have pain long after the bone has healed; this does not always mean there is a problem with the healing.","pain, fracture healing, persistent pain, normal symptom"
Introduction,Anatomy of the Shoulder,"What are the main anatomical components of the shoulder joint?","The shoulder joint consists of the clavicle, fibrous joint capsule, synovial membrane, joint cavity (containing synovial fluid), humerus, scapula, and articular cartilage.","What bones are involved in the shoulder joint?","The shoulder joint is formed by the clavicle, scapula, and humerus.","shoulder joint anatomy, clavicle, fibrous joint capsule, synovial membrane, joint cavity, synovial fluid, humerus, scapula, articular cartilage"
Introduction,Image Credit,"What is the source of the shoulder joint image?","The image is licensed under CC BY 3.0 and was created by Blausen.com staff (2014).","Where can I find the original image?","The image is from Blausen.com staff (2014) and is licensed under CC BY 3.0.","image credit, Blausen.com, CC BY 3.0"
Lifestyle Advice,Smoking,"How does smoking affect the healing of a proximal humerus fracture?","Smoking significantly delays wound healing and can even prevent bone healing in severe cases. It also increases infection risk by suppressing the immune system.","Why is stopping smoking important for fracture recovery?","Quitting smoking is strongly advised for optimal recovery as it hinders healing and increases infection risk.","smoking advice, fracture healing, delay healing, stop healing, infection risk, immune system"
What to expect,Weeks 1 and 2,"What symptoms should I anticipate in the first 1-2 weeks after a proximal humerus fracture?","Expect pain relief from a sling, potentially disturbed sleep, bruising and swelling that may spread to the chest, elbow, and forearm, and possibly temporary finger tingling. Physiotherapy might be recommended.","What are common early symptoms after this type of fracture?","Common early symptoms include pain relief from a sling, disturbed sleep, bruising, swelling that may spread, and temporary finger tingling.","weeks 1 and 2, proximal humerus fracture, sling, pain relief, disturbed sleep, bruising, swelling, finger tingling, physiotherapy"
Early movement and exercise,Initial Exercises,"What are the recommended initial exercises for a proximal humerus fracture?","Early shoulder movement is crucial to prevent stiffness. Exercises include: out of sling: bending forward with the arm hanging down, bending and straightening the elbow, and opening/closing/spreading fingers then making a fist.","What gentle movements should I try early in recovery?","Try gentle movements like bending forward with the arm hanging, elbow flexion/extension, and hand/finger exercises.","early movement, exercise, reduce stiffness, elbow, wrist, fingers, collar and cuff, bending forward, elbow flexion/extension, hand movements"
Pain Management,Painkillers,"What should I do about pain after a proximal humerus fracture?","You should have been advised about painkillers. Consult your GP or pharmacist for further advice on pain management.","Where can I get advice on pain relief?","Consult your GP or pharmacist for advice on appropriate painkillers.","pain management, painkillers, GP advice, pharmacist advice"
Recovery Timeline,Weeks 3 to 6,"What changes can I expect in pain and movement between weeks 3 and 6?","The pain and bruising should be diminishing, and shoulder movement should be improving.","How should my symptoms progress by weeks 3-6?","Expect reduced pain and bruising, with gradual improvement in shoulder movement.","weeks 3 to 6, pain settling, bruising settling, improving movement"
Recovery Timeline,Weeks 6 to 12,"What should I anticipate regarding pain and stiffness between weeks 6 and 12?","It's normal for the shoulder to remain somewhat painful and stiff during this period, which can last for a few months and doesn't necessarily indicate a healing problem. You should discontinue sling use unless advised otherwise. If you have concerns about shoulder movement and haven't been referred for physiotherapy, contact the provided number.","What are common symptoms to experience between 6 and 12 weeks post-fracture?","It's normal to still have pain and stiffness, which can persist for months. Sling use should be discontinued unless medically advised, and physiotherapy should be sought for movement concerns.","weeks 6 to 12, normal symptoms, painful shoulder, stiff shoulder, no sling, physiotherapy referral"
