```csv
topic,subtopic,question,answer,follow_up_questions,follow_up_answers,keywords
Congenital Dislocations: Radial Head Dislocation,Anterior Radial Head Dislocation,"What is congenital radial head dislocation, and what are its common causes?","Congenital radial head dislocation, most commonly presenting anteriorly, is often associated with systemic conditions such as Nail Patella syndrome or achondroplasia.","What are the symptoms of congenital radial head dislocation?","It may present with reduced range of motion or pain.","congenital radial head dislocation, anterior dislocation, Nail Patella syndrome, achondroplasia, reduced ROM, pain"
Congenital Dislocations: Radial Head Dislocation,Anterior Radial Head Dislocation,"What are the management options for congenital radial head dislocation?","Management is typically non-operative, but surgical options like radial head excision or annular ligament reconstruction are considered for symptomatic cases, often requiring bone length equalization.","When is surgery considered for this condition?","Surgery is considered for symptomatic cases, particularly when there is significant pain or reduced range of motion, and may involve bone length equalization.","management, non-operative, surgical options, radial head excision, annular ligament reconstruction, symptomatic cases, bone length equalization"
Madelung Deformity,Congenital Condition of Distal Radius,"What is Madelung deformity?","Madelung deformity is a congenital condition affecting the distal radius, characterized by premature fusion of the volar-ulnar epiphysis.","What are the consequences of this premature fusion?","It leads to a prominent ulna head and carpal subluxation.","Madelung deformity, congenital condition, distal radius, premature fusion, volar-ulnar epiphysis, prominent ulna head, carpal subluxation"
Madelung Deformity,Congenital Condition of Distal Radius,"What is the goal of managing Madelung deformity?","The management aims to restore radial anatomy, reduce distal radioulnar joint (DRUJ) instability, and improve the range of motion.","What anatomical structures are targeted in management?","Management focuses on restoring the distal radius's anatomy, reducing DRUJ instability, and improving the elbow's range of motion.","management goal, radial anatomy, DRUJ instability, range of motion"
Orthopaedic Classifications: Swanson's Classification of Congenital Hand Anomalies,Etiology-Based Classification,"How does Swanson's classification categorize congenital hand anomalies?","Swanson's classification categorizes congenital hand anomalies based on their etiology: failure of formation (amelia, longitudinal arrest), failure of differentiation (syndactyly, camptodactyly), duplication (polydactyly), overgrowth/undergrowth (hyperplasia/hypoplasia), and constriction bands.","What other conditions are considered in this classification?","General syndromes and Madelung's deformity are also considered within this classification framework.","Swanson's classification, congenital hand anomalies, etiology, failure of formation, failure of differentiation, duplication, overgrowth, undergrowth, constriction bands, syndromes, Madelung's deformity"
Orthopaedic Classifications: Wassel's Classification of Thumb Duplications,Pattern-Based Classification,"What is Wassel's classification for thumb duplications?","Wassel's classification of thumb polydactyly describes seven types based on the pattern of duplication, specifically relating to the bifurcation or duplication of the phalanges (P1, P2, P3).","What are the different types in Wassel's classification?","The types range from Type 1 (bifid P3) to Type 7 (triphalangism), with Type 4 (duplicated P2) being the most common.","Wassel's classification, thumb polydactyly, pattern of duplication, phalanges, Type 1, Type 2, Type 3, Type 4, Type 5, Type 6, Type 7, triphalangism"
Orthopaedic Classifications: Wassel's Classification of Thumb Duplications,Surgical Management Guidance,"How does Wassel's classification guide surgical management?","This classification guides surgical management by identifying the most functional duplication to aim for during reconstruction.","What is the primary goal of surgical reconstruction based on this classification?","The goal is to create the most functional and aesthetically acceptable thumb by selecting the most viable duplicated element.","surgical management, functional duplication, thumb reconstruction, aesthetic outcome"
Paediatric Upper Limb Conditions: Brachial Plexus Birth Palsy,Traction Injury of Brachial Plexus,"What causes Brachial Plexus Birth Palsy (BPBP)?","BPBP results from a traction injury to the brachial plexus during the birth process.","What are the common types of BPBP?","Erb's palsy (affecting C5/C6) is the most common, with a better prognosis than Klumpke's palsy (C8/T1) or total plexus injuries.","Brachial Plexus Birth Palsy, BPBP, traction injury, brachial plexus, Erb's palsy, Klumpke's palsy, total plexus injury, prognosis"
Paediatric Upper Limb Conditions: Brachial Plexus Birth Palsy,Management and Prognosis,"What is the management for Brachial Plexus Birth Palsy?","Management involves observation for natural recovery and range of motion (ROM) exercises. Surgical options like nerve grafting or tendon transfers are considered for persistent deficits.","What factors indicate a poor prognosis for BPBP?","Poor prognostic factors include a pre-ganglionic injury and a lack of biceps recovery by 5-6 months of age.","management, observation, ROM exercises, nerve grafting, tendon transfers, persistent deficits, poor prognosis, pre-ganglionic injury, biceps recovery"
Paediatric Upper Limb Conditions: Congenital Pseudoarthrosis of the Clavicle,Failure of Ossification Centers,"What is congenital pseudoarthrosis of the clavicle?","Congenital pseudoarthrosis of the clavicle is a condition where the ossification centers of the clavicle fail to unite, presenting as a painless mass.","How does it differ from tibial pseudoarthrosis?","Unlike tibial pseudoarthrosis, it rarely causes a functional deficit.","congenital pseudoarthrosis of the clavicle, failure of ossification, clavicle, painless mass, functional deficit"
